#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1565.0%	313000	-29853.82134844808	297.3877326157694	121	23:53:03
1570.0%	314000	-29681.610370368027	303.8152331921457	121	23:53:01
1575.0%	315000	-29735.692013011198	296.06294961636263	121	23:53:00
1580.0%	316000	-29763.543807666138	319.4348190523299	121	23:52:59
1585.0%	317000	-30145.5525400349	292.3598476524239	121	23:52:57
1590.0%	318000	-29756.10420104576	290.04942267346854	121	23:52:56
1595.0%	319000	-30042.387413651595	295.26529737037777	121	23:52:54
1600.0%	320000	-29938.091322002816	291.8617483421395	121	23:52:53
1605.0%	321000	-30029.80233774014	289.29910143478304	121	23:52:51
1610.0%	322000	-29933.606177366426	301.9507537139263	121	23:52:50
1615.0%	323000	-29916.367119178904	302.094904723454	121	23:52:48
1620.0%	324000	-30100.447829731565	303.93315495534216	121	23:52:47
1625.0%	325000	-30123.495469064306	299.8999993790188	121	23:52:46
1630.0%	326000	-29884.390807992488	293.59409227888335	120	23:52:41
1635.0%	327000	-29653.706831749325	295.2936699480482	120	23:52:40
1640.0%	328000	-29965.676183940872	308.36735224601694	120	23:52:39
1645.0%	329000	-30043.542115215503	296.3131697186322	120	23:52:37
1650.0%	330000	-30017.865862986277	299.7043071573667	120	23:52:36
1655.0%	331000	-30026.952657950605	288.84464649120275	120	23:52:34
1660.0%	332000	-30082.90542477343	295.76646570179264	120	23:52:33
1665.0%	333000	-29680.805093012925	299.0055801443153	120	23:52:31
1670.0%	334000	-29944.732069778693	300.0598965973271	120	23:52:30
1675.0%	335000	-30128.119068612345	303.21190409598296	120	23:52:28
1680.0%	336000	-29977.934015367035	305.83130990492754	120	23:52:27
1685.0%	337000	-29983.80801282442	293.71794758099486	120	23:52:26
1690.0%	338000	-30018.90389889953	300.8322709750574	120	23:52:24
1695.0%	339000	-29845.729892170202	285.63361926888905	120	23:52:23
1700.0%	340000	-30133.4426843111	291.034940584784	120	23:52:21
1705.0%	341000	-30177.92332318693	300.65126711096445	120	23:52:20
1710.0%	342000	-29818.652982013853	295.52774496456414	120	23:52:18
1715.0%	343000	-29978.281394188	286.9594572854321	120	23:52:17
1720.0%	344000	-30185.585655565024	299.74433356080243	120	23:52:15
